Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,842116,30,BANKEX,BANKEX25SEP60800CE,OPTIDX,25-SEP-2025,60800,CE
BFO,842716,30,BANKEX,BANKEX25SEP59000CE,OPTIDX,25-SEP-2025,59000,CE
BFO,861645,30,BANKEX,BANKEX25OCT63000PE,OPTIDX,30-OCT-2025,63000,PE
BFO,861571,30,BANKEX,BANKEX25OCT61200PE,OPTIDX,30-OCT-2025,61200,PE
BFO,861736,30,BANKEX,BANKEX25OCT61100PE,OPTIDX,30-OCT-2025,61100,PE
BFO,861524,30,BANKEX,BANKEX25OCT61000PE,OPTIDX,30-OCT-2025,61000,PE
BFO,861813,30,BANKEX,BANKEX25OCT60900PE,OPTIDX,30-OCT-2025,60900,PE
BFO,861283,30,BANKEX,BANKEX25OCT60800PE,OPTIDX,30-OCT-2025,60800,PE
BFO,861767,30,BANKEX,BANKEX25OCT60700PE,OPTIDX,30-OCT-2025,60700,PE
BFO,861238,30,BANKEX,BANKEX25OCT60600PE,OPTIDX,30-OCT-2025,60600,PE
BFO,861726,30,BANKEX,BANKEX25OCT60500PE,OPTIDX,30-OCT-2025,60500,PE
BFO,861194,30,BANKEX,BANKEX25OCT60400PE,OPTIDX,30-OCT-2025,60400,PE
BFO,861369,30,BANKEX,BANKEX25OCT60300PE,OPTIDX,30-OCT-2025,60300,PE
BFO,861154,30,BANKEX,BANKEX25OCT60200PE,OPTIDX,30-OCT-2025,60200,PE
BFO,861324,30,BANKEX,BANKEX25OCT60100PE,OPTIDX,30-OCT-2025,60100,PE
BFO,861804,30,BANKEX,BANKEX25OCT60000PE,OPTIDX,30-OCT-2025,60000,PE
BFO,861253,30,BANKEX,BANKEX25OCT59900PE,OPTIDX,30-OCT-2025,59900,PE
BFO,861404,30,BANKEX,BANKEX25OCT61300PE,OPTIDX,30-OCT-2025,61300,PE
BFO,861611,30,BANKEX,BANKEX25OCT61400PE,OPTIDX,30-OCT-2025,61400,PE
BFO,861448,30,BANKEX,BANKEX25OCT61500PE,OPTIDX,30-OCT-2025,61500,PE
BFO,861239,30,BANKEX,BANKEX25OCT62900PE,OPTIDX,30-OCT-2025,62900,PE
BFO,861727,30,BANKEX,BANKEX25OCT62800PE,OPTIDX,30-OCT-2025,62800,PE
BFO,861195,30,BANKEX,BANKEX25OCT62700PE,OPTIDX,30-OCT-2025,62700,PE
BFO,861371,30,BANKEX,BANKEX25OCT62600PE,OPTIDX,30-OCT-2025,62600,PE
BFO,861155,30,BANKEX,BANKEX25OCT62500PE,OPTIDX,30-OCT-2025,62500,PE
BFO,861325,30,BANKEX,BANKEX25OCT62400PE,OPTIDX,30-OCT-2025,62400,PE
BFO,861805,30,BANKEX,BANKEX25OCT62300PE,OPTIDX,30-OCT-2025,62300,PE
BFO,861277,30,BANKEX,BANKEX25OCT62200PE,OPTIDX,30-OCT-2025,62200,PE
BFO,861758,30,BANKEX,BANKEX25OCT62100PE,OPTIDX,30-OCT-2025,62100,PE
BFO,861228,30,BANKEX,BANKEX25OCT62000PE,OPTIDX,30-OCT-2025,62000,PE
BFO,861534,30,BANKEX,BANKEX25OCT61900PE,OPTIDX,30-OCT-2025,61900,PE
BFO,861698,30,BANKEX,BANKEX25OCT61800PE,OPTIDX,30-OCT-2025,61800,PE
BFO,861489,30,BANKEX,BANKEX25OCT61700PE,OPTIDX,30-OCT-2025,61700,PE
BFO,861651,30,BANKEX,BANKEX25OCT61600PE,OPTIDX,30-OCT-2025,61600,PE
BFO,861436,30,BANKEX,BANKEX25OCT59800PE,OPTIDX,30-OCT-2025,59800,PE
BFO,861205,30,BANKEX,BANKEX25OCT59700PE,OPTIDX,30-OCT-2025,59700,PE
BFO,861516,30,BANKEX,BANKEX25OCT57900PE,OPTIDX,30-OCT-2025,57900,PE
BFO,861300,30,BANKEX,BANKEX25OCT57800PE,OPTIDX,30-OCT-2025,57800,PE
BFO,861477,30,BANKEX,BANKEX25OCT57700PE,OPTIDX,30-OCT-2025,57700,PE
BFO,861252,30,BANKEX,BANKEX25OCT57600PE,OPTIDX,30-OCT-2025,57600,PE
BFO,861435,30,BANKEX,BANKEX25OCT57500PE,OPTIDX,30-OCT-2025,57500,PE
BFO,861600,30,BANKEX,BANKEX25OCT57400PE,OPTIDX,30-OCT-2025,57400,PE
BFO,861388,30,BANKEX,BANKEX25OCT57300PE,OPTIDX,30-OCT-2025,57300,PE
BFO,861561,30,BANKEX,BANKEX25OCT57200PE,OPTIDX,30-OCT-2025,57200,PE
BFO,861340,30,BANKEX,BANKEX25OCT57100PE,OPTIDX,30-OCT-2025,57100,PE
BFO,861513,30,BANKEX,BANKEX25OCT57000PE,OPTIDX,30-OCT-2025,57000,PE
BFO,861795,30,BANKEX,BANKEX25OCT56900PE,OPTIDX,30-OCT-2025,56900,PE
BFO,861588,30,BANKEX,BANKEX25OCT56800PE,OPTIDX,30-OCT-2025,56800,PE
BFO,861752,30,BANKEX,BANKEX25OCT56700PE,OPTIDX,30-OCT-2025,56700,PE
BFO,861221,30,BANKEX,BANKEX25OCT56600PE,OPTIDX,30-OCT-2025,56600,PE
BFO,861220,30,BANKEX,BANKEX25OCT58000PE,OPTIDX,30-OCT-2025,58000,PE
BFO,861749,30,BANKEX,BANKEX25OCT58100PE,OPTIDX,30-OCT-2025,58100,PE
BFO,861269,30,BANKEX,BANKEX25OCT58200PE,OPTIDX,30-OCT-2025,58200,PE
BFO,861389,30,BANKEX,BANKEX25OCT59600PE,OPTIDX,30-OCT-2025,59600,PE
BFO,861562,30,BANKEX,BANKEX25OCT59500PE,OPTIDX,30-OCT-2025,59500,PE
BFO,861341,30,BANKEX,BANKEX25OCT59400PE,OPTIDX,30-OCT-2025,59400,PE
BFO,861514,30,BANKEX,BANKEX25OCT59300PE,OPTIDX,30-OCT-2025,59300,PE
BFO,861295,30,BANKEX,BANKEX25OCT59200PE,OPTIDX,30-OCT-2025,59200,PE
BFO,861475,30,BANKEX,BANKEX25OCT59100PE,OPTIDX,30-OCT-2025,59100,PE
BFO,861637,30,BANKEX,BANKEX25OCT59000PE,OPTIDX,30-OCT-2025,59000,PE
BFO,861548,30,BANKEX,BANKEX25OCT58900PE,OPTIDX,30-OCT-2025,58900,PE
BFO,861713,30,BANKEX,BANKEX25OCT58800PE,OPTIDX,30-OCT-2025,58800,PE
BFO,861183,30,BANKEX,BANKEX25OCT58700PE,OPTIDX,30-OCT-2025,58700,PE
BFO,861671,30,BANKEX,BANKEX25OCT58600PE,OPTIDX,30-OCT-2025,58600,PE
BFO,861838,30,BANKEX,BANKEX25OCT58500PE,OPTIDX,30-OCT-2025,58500,PE
BFO,861625,30,BANKEX,BANKEX25OCT58400PE,OPTIDX,30-OCT-2025,58400,PE
BFO,861794,30,BANKEX,BANKEX25OCT58300PE,OPTIDX,30-OCT-2025,58300,PE
BFO,861712,30,BANKEX,BANKEX25OCT56500PE,OPTIDX,30-OCT-2025,56500,PE
BFO,861606,30,BANKEX,BANKEX25OCT69700PE,OPTIDX,30-OCT-2025,69700,PE
BFO,861528,30,BANKEX,BANKEX25OCT67900PE,OPTIDX,30-OCT-2025,67900,PE
BFO,861308,30,BANKEX,BANKEX25OCT67800PE,OPTIDX,30-OCT-2025,67800,PE
BFO,861484,30,BANKEX,BANKEX25OCT67700PE,OPTIDX,30-OCT-2025,67700,PE
BFO,861647,30,BANKEX,BANKEX25OCT67600PE,OPTIDX,30-OCT-2025,67600,PE
BFO,861440,30,BANKEX,BANKEX25OCT67500PE,OPTIDX,30-OCT-2025,67500,PE
BFO,861605,30,BANKEX,BANKEX25OCT67400PE,OPTIDX,30-OCT-2025,67400,PE
BFO,861396,30,BANKEX,BANKEX25OCT67300PE,OPTIDX,30-OCT-2025,67300,PE
BFO,861565,30,BANKEX,BANKEX25OCT67200PE,OPTIDX,30-OCT-2025,67200,PE
BFO,861346,30,BANKEX,BANKEX25OCT67100PE,OPTIDX,30-OCT-2025,67100,PE
BFO,861518,30,BANKEX,BANKEX25OCT67000PE,OPTIDX,30-OCT-2025,67000,PE
BFO,861807,30,BANKEX,BANKEX25OCT66900PE,OPTIDX,30-OCT-2025,66900,PE
BFO,861279,30,BANKEX,BANKEX25OCT66800PE,OPTIDX,30-OCT-2025,66800,PE
BFO,861760,30,BANKEX,BANKEX25OCT66700PE,OPTIDX,30-OCT-2025,66700,PE
BFO,861231,30,BANKEX,BANKEX25OCT66600PE,OPTIDX,30-OCT-2025,66600,PE
