Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,330,1,VALIANTORG,VALIANTORG-EQ,EQ,,0,
NSE,19218,1,VALIANTLAB,VALIANTLAB-EQ,EQ,,0,
NSE,13342,1,VAKRANGEE,VAKRANGEE-EQ,EQ,,0,
NSE,16589,1,VAISHALI,VAISHALI-EQ,EQ,,0,
NSE,11364,1,VAIBHAVGBL,VAIBHAVGBL-EQ,EQ,,0,
NSE,24196,1,VADILALIND,VADILALIND-EQ,EQ,,0,
NSE,14770,1,V2RETAIL,V2RETAIL-BE,BE,,0,
NSE,12863,1,V1NSETEST,V1NSETEST-EQ,EQ,,0,
NSE,25626,1,UYFINCORP,UYFINCORP-EQ,EQ,,0,
NSE,13376,1,UTTAMSUGAR,UTTAMSUGAR-EQ,EQ,,0,
NSE,17358,1,UTKARSHBNK,UTKARSHBNK-EQ,EQ,,0,
NSE,9168,1,UTISXN50,UTISXN50-EQ,EQ,,0,
NSE,10515,1,UTISENSETF,UTISENSETF-EQ,EQ,,0,
NSE,10511,1,UTINIFTETF,UTINIFTETF-EQ,EQ,,0,
NSE,21478,1,UTINEXT50,UTINEXT50-EQ,EQ,,0,
NSE,22440,1,UTIBANKETF,UTIBANKETF-EQ,EQ,,0,
NSE,527,1,UTIAMC,UTIAMC-EQ,EQ,,0,
NSE,14872,1,USK,USK-BE,BE,,0,
NSE,8840,1,USHAMART,USHAMART-EQ,EQ,,0,
NSE,20203,1,URJA,URJA-EQ,EQ,,0,
NSE,17081,1,URAVI,URAVI-BE,BE,,0,
NSE,11287,1,UPL,UPL-EQ,EQ,,0,
NSE,14154,1,UNOMINDA,UNOMINDA-EQ,EQ,,0,
NSE,17659,1,UNIVPHOTO,UNIVPHOTO-EQ,EQ,,0,
NSE,3607,1,UNIVCABLES,UNIVCABLES-EQ,EQ,,0,
NSE,18977,1,UNIVASTU,UNIVASTU-EQ,EQ,,0,
NSE,17999,1,UNITEDTEA,UNITEDTEA-EQ,EQ,,0,
NSE,7564,1,UNITEDPOLY,UNITEDPOLY-BE,BE,,0,
NSE,10447,1,UNITDSPR,UNITDSPR-EQ,EQ,,0,
NSE,13057,1,UNIPARTS,UNIPARTS-EQ,EQ,,0,
NSE,10753,1,UNIONBANK,UNIONBANK-EQ,EQ,,0,
NSE,7791,1,UNIINFO,UNIINFO-EQ,EQ,,0,
NSE,11293,1,UNIENTER,UNIENTER-EQ,EQ,,0,
NSE,24809,1,UNIECOM,UNIECOM-EQ,EQ,,0,
NSE,201,1,UNIDT,UNIDT-EQ,EQ,,0,
NSE,3579,1,UNICHEMLAB,UNICHEMLAB-EQ,EQ,,0,
NSE,19145,1,UMESLTD,UMESLTD-BE,BE,,0,
NSE,11392,1,UMANGDAIRY,UMANGDAIRY-BE,BE,,0,
NSE,8845,1,UMAEXPORTS,UMAEXPORTS-BE,BE,,0,
NSE,11532,1,ULTRACEMCO,ULTRACEMCO-EQ,EQ,,0,
NSE,15228,1,UJJIVANSFB,UJJIVANSFB-EQ,EQ,,0,
NSE,5313,1,UGROCAP,UGROCAP-EQ,EQ,,0,
NSE,19578,1,UGARSUGAR,UGARSUGAR-EQ,EQ,,0,
NSE,9039,1,UFO,UFO-EQ,EQ,,0,
NSE,1053,1,UFLEX,UFLEX-EQ,EQ,,0,
NSE,23509,1,UEL,UEL-BE,BE,,0,
NSE,19113,1,UDS,UDS-EQ,EQ,,0,
NSE,7276,1,UDAICEMENT,UDAICEMENT-EQ,EQ,,0,
NSE,11223,1,UCOBANK,UCOBANK-EQ,EQ,,0,
NSE,3570,1,UCAL,UCAL-EQ,EQ,,0,
NSE,16713,1,UBL,UBL-EQ,EQ,,0,
NSE,18508,1,TVVISION,TVVISION-BE,BE,,0,
NSE,11275,1,TVTODAY,TVTODAY-EQ,EQ,,0,
NSE,14245,1,TVSSRICHAK,TVSSRICHAK-EQ,EQ,,0,
NSE,18151,1,TVSSCS,TVSSCS-EQ,EQ,,0,
NSE,8479,1,TVSMOTOR,TVSMOTOR-EQ,EQ,,0,
NSE,29008,1,TVSHLTD,TVSHLTD-EQ,EQ,,0,
NSE,13120,1,TVSELECT,TVSELECT-BE,BE,,0,
NSE,14208,1,TV18BRDCST,TV18BRDCST-EQ,EQ,,0,
NSE,8954,1,TTML,TTML-EQ,EQ,,0,
NSE,14314,1,TTL,TTL-EQ,EQ,,0,
NSE,3546,1,TTKPRESTIG,TTKPRESTIG-EQ,EQ,,0,
NSE,11369,1,TTKHLTCARE,TTKHLTCARE-EQ,EQ,,0,
NSE,9387,1,TRU,TRU-BE,BE,,0,
NSE,13081,1,TRIVENI,TRIVENI-EQ,EQ,,0,
NSE,25584,1,TRITURBINE,TRITURBINE-EQ,EQ,,0,
NSE,5428,1,TRIGYN,TRIGYN-EQ,EQ,,0,
NSE,9685,1,TRIDENT,TRIDENT-EQ,EQ,,0,
NSE,17987,1,TRF,TRF-EQ,EQ,,0,
NSE,1964,1,TRENT,TRENT-EQ,EQ,,0,
NSE,17795,1,TREL,TREL-EQ,EQ,,0,
NSE,7605,1,TREJHARA,TREJHARA-BE,BE,,0,
NSE,25082,1,TREEHOUSE,TREEHOUSE-EQ,EQ,,0,
NSE,11582,1,TRACXN,TRACXN-EQ,EQ,,0,
NSE,9223,1,TPLPLASTEH,TPLPLASTEH-BE,BE,,0,
NSE,17000,1,TPHQ,TPHQ-BE,BE,,0,
NSE,16910,1,TOUCHWOOD,TOUCHWOOD-BE,BE,,0,
NSE,22425,1,TOTAL,TOTAL-BE,BE,,0,
NSE,13786,1,TORNTPOWER,TORNTPOWER-EQ,EQ,,0,
NSE,3518,1,TORNTPHARM,TORNTPHARM-EQ,EQ,,0,
NSE,25171,1,TOP10ADD,TOP10ADD-EQ,EQ,,0,
NSE,24081,1,TOP100CASE,TOP100CASE-EQ,EQ,,0,
NSE,25262,1,TOLINS,TOLINS-EQ,EQ,,0,
NSE,9710,1,TOKYOPLAST,TOKYOPLAST-BE,BE,,0,
NSE,9884,1,TNTELE,TNTELE-BE,BE,,0,
NSE,3980,1,TNPL,TNPL-EQ,EQ,,0,
NSE,3509,1,TNPETRO,TNPETRO-EQ,EQ,,0,
NSE,8882,1,TNIDETF,TNIDETF-EQ,EQ,,0,
NSE,10945,1,TMB,TMB-EQ,EQ,,0,
NSE,3506,1,TITAN,TITAN-EQ,EQ,,0,
NSE,15414,1,TITAGARH,TITAGARH-EQ,EQ,,0,
NSE,22284,1,TIRUPATIFL,TIRUPATIFL-BE,BE,,0,
NSE,3496,1,TIRUMALCHM,TIRUMALCHM-EQ,EQ,,0,
NSE,9117,1,TIPSMUSIC,TIPSMUSIC-EQ,EQ,,0,
NSE,11374,1,TIPSFILMS,TIPSFILMS-EQ,EQ,,0,
NSE,14198,1,TIMKEN,TIMKEN-EQ,EQ,,0,
NSE,14707,1,TIMETECHNO,TIMETECHNO-EQ,EQ,,0,
NSE,10717,1,TIMESGTY,TIMESGTY-EQ,EQ,,0,
NSE,25486,1,TIJARIA,TIJARIA-BE,BE,,0,
NSE,312,1,TIINDIA,TIINDIA-EQ,EQ,,0,
NSE,14223,1,TIIL,TIIL-EQ,EQ,,0,
NSE,14019,1,TIDEWATER,TIDEWATER-EQ,EQ,,0,
NSE,19196,1,TI,TI-EQ,EQ,,0,
NSE,17032,1,THYROCARE,THYROCARE-EQ,EQ,,0,
NSE,31021,1,THOMASCOTT,THOMASCOTT-BE,BE,,0,
NSE,3481,1,THOMASCOOK,THOMASCOOK-EQ,EQ,,0,
NSE,3475,1,THERMAX,THERMAX-EQ,EQ,,0,
NSE,14485,1,THEMISMED,THEMISMED-EQ,EQ,,0,
